The United States of America, Life expectancy at birth (period, 1x1)     Last modified: 24-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1933      62.78   59.17   60.88
1934      62.34   58.34   60.23
1935      63.04   58.96   60.89
1936      62.60   58.35   60.35
1937      63.37   59.00   61.05
1938      64.54   60.45   62.39
1939      65.25   61.12   63.07
1940      65.57   61.14   63.23
1941      66.27   61.59   63.80
1942      67.17   62.26   64.59
1943      66.90   61.90   64.30
1944      67.76   62.54   65.09
1945      68.34   62.96   65.58
1946      69.02   63.76   66.28
1947      69.45   64.19   66.69
1948      70.10   64.69   67.25
1949      70.52   65.02   67.63
1950      71.02   65.40   68.07
1951      71.22   65.41   68.17
1952      71.50   65.55   68.39
1953      71.92   65.80   68.72
1954      72.70   66.57   69.50
1955      72.80   66.58   69.56
1956      72.95   66.61   69.64
1957      72.74   66.36   69.41
1958      73.00   66.60   69.67
1959      73.31   66.75   69.89
1960      73.31   66.63   69.83
1961      73.70   67.03   70.24
1962      73.59   66.88   70.11
1963      73.50   66.63   69.94
1964      73.81   66.82   70.19
1965      73.93   66.80   70.24
1966      73.97   66.69   70.21
1967      74.33   66.93   70.52
1968      74.09   66.57   70.22
1969      74.40   66.77   70.48
1970      74.65   67.02   70.74
1971      74.96   67.37   71.09
1972      75.11   67.43   71.18
1973      75.32   67.62   71.40
1974      75.86   68.19   71.97
1975      76.45   68.72   72.54
1976      76.68   69.09   72.85
1977      77.08   69.41   73.22
1978      77.23   69.63   73.42
1979      77.66   70.01   73.83
1980      77.48   69.99   73.74
1981      77.80   70.41   74.12
1982      78.08   70.81   74.47
1983      78.09   70.97   74.56
1984      78.18   71.13   74.69
1985      78.18   71.08   74.67
1986      78.27   71.15   74.75
1987      78.36   71.32   74.88
1988      78.31   71.33   74.86
1989      78.58   71.61   75.14
1990      78.86   71.86   75.41
1991      78.99   72.04   75.56
1992      79.20   72.34   75.81
1993      78.95   72.18   75.61
1994      79.07   72.40   75.78
1995      79.10   72.60   75.89
1996      79.24   73.09   76.22
1997      79.40   73.56   76.54
1998      79.45   73.83   76.71
1999      79.38   73.95   76.73
2000      79.46   74.15   76.87
2001      79.54   74.29   76.98
2002      79.62   74.38   77.05
2003      79.75   74.57   77.21
2004      80.12   75.01   77.62
2005      80.14   75.02   77.62
2006      80.41   75.31   77.91
2007      80.65   75.60   78.17
2008      80.69   75.74   78.26
2009      81.04   76.13   78.63
2010      81.21   76.37   78.83
